video_id,date,time,description,relevant
P01_01,30/04/2017,13:49:00,"prepared rice with tofu, celery, carrots and onions. put dry dishes into cupboard.",True
P01_02,30/04/2017,14:23:00,"washed dishes, wiped sink and counter, put food container into fridge",False
P01_03,09/05/2017,08:30:00,prepared breakfast with soy milk and cereals,True
P01_04,09/05/2017,08:41:00,"put cereals back into the cupboard, washed the cup up",False
P01_05,09/05/2017,21:18:00,"cooked vegetarian sausages and potatoes, put dry dishes into cupboard",True
P01_06,09/05/2017,21:42:00,"washed dishes, wiped sink and counter",False
P01_07,10/05/2017,09:03:00,"prepared breakfast with soy milk and cereals, put dry dishes into cupboard",True
P01_08,10/05/2017,09:13:00,"washed up, put cereals back into the cupboard",False
P01_09,10/05/2017,21:06:22,"baked two pizzas (prepared dough, cooked toppings)",True
P01_10,10/05/2017,22:13:10,"took second pizza out of the oven, cut and served pizza",True
P01_11,10/05/2017,22:24:26,"put pizza leftovers into container, washed up dishes, took rubbish bins out",False
P01_12,11/05/2017,08:44:11,"prepared breakfast with soy milk and cereals, put dry dishes into cupboard",True
P01_13,11/05/2017,08:53:53,"washed up, put cereals back into the cupboard",False
P01_14,11/05/2017,19:37:46,"put rubbish bins into place, prepared pasta with mozzarella, aubergine, onions and tomato sauce",True
P01_15,11/05/2017,21:05:33,"washed dishes, wiped sink and counter",False
P01_16,12/05/2017,09:30:22,"put dry dishes into cupboard, took cereals and poured soy milk",False
P01_17,12/05/2017,09:41:11,"prepared salad with lettuce, tomatoes, carrots, onions and mushrooms, washed up",True
P01_18,13/05/2017,12:37:26,"prepared risotto with squash, mushrooms and onions, washed up",True
P01_19,13/05/2017,14:01:42,"washed dishes, wiped sink and counter",False
P02_01,04/05/2017,09:04:00,"prepared coffee, forgot to change the pod so emptied the mug and prepared again, and prepared cereal with milk",True
P02_02,04/05/2017,09:44:00,"emptied the rubbish bin and replaced the bag, and washed the dishes",False
P02_03,04/05/2017,20:55:00,"cooked pasta with broccoli and a white sauce with pesto, along with microwaved chicken",True
P02_04,04/05/2017,21:53:00,put rest of pasta in tupperware in the fridge and washed the dishes,False
P02_05,06/05/2017,19:31:00,drank water and closed open cupboards,False
P02_06,06/05/2017,19:49:00,"cleared the kitchen, washed the dishes twice, put frozen onion rings, chicken burger and fries in the oven and prepared salad",True
P02_07,06/05/2017,19:58:00,"set off the timer, took the tray out of the oven and flipped content, and prepared mayo and ketchup sauce",True
P02_08,06/05/2017,20:08:00,"set of the timer, got food out of the oven and served it",True
P02_09,07/05/2017,17:38:00,"prepared dough, cooked minced meat, washed dishes and drank water",False
P02_10,07/05/2017,18:02:00,checked and stirred minced meat being cooked,True
P02_11,07/05/2017,18:12:00,stirred and seasoned minced meat being cooked,True
P02_12,07/05/2017,19:14:00,"added yoghurt to meat and seasoned, then put meat on dough to make pies, some with meat and some with thyme and olive oil. ",True
P02_13,07/05/2017,19:24:00,put pie trays into oven and set timer,False
P02_14,07/05/2017,19:35:00,shifted trays in oven,False
P02_15,07/05/2017,20:45:00,put pies in tupperware and into the fridge,False
P03_02,08/05/2017,21:44:05,"making lunch, taking out bin and cleaning bin",True
P03_03,09/05/2017,09:51:57,getting lunch and doing washing,False
P03_04,09/05/2017,17:56:46,putting away food and cooking dinner,True
P03_05,09/05/2017,18:41:53,cook dinner,True
P03_06,09/05/2017,19:00:12,serving up dinner,True
P03_07,09/05/2017,19:16:07,putting dishes on side and washing grapes,False
P03_08,09/05/2017,19:33:13,put food back in fridge,False
P03_09,09/05/2017,22:34:58,make lunch and wash up,True
P03_10,10/05/2017,09:23:14,make breakfast,True
P03_11,10/05/2017,09:26:58,make breakfast,True
P03_12,10/05/2017,09:39:45,putting dishes on side,False
P03_13,10/05/2017,17:53:23,making drinks,False
P03_14,10/05/2017,18:13:52,starting dinner and sweeping floor,True
P03_15,10/05/2017,18:28:22,check on dinner,False
P03_16,10/05/2017,18:35:08,making dinner,True
P03_17,10/05/2017,18:47:41,serving up dinner,True
P03_18,10/05/2017,20:57:36,put food in fridge,False
P03_19,10/05/2017,21:34:18,make lunch and wash up,True
P03_20,10/05/2017,21:49:08,make lunch and wash up,True
P03_21,11/05/2017,07:55:35,make drink,False
P03_22,11/05/2017,09:03:47,get bag ready and get breakfast,False
P03_23,11/05/2017,18:11:04,making dinner,True
P03_24,11/05/2017,18:27:29,cooking dinner and serving,True
P03_25,11/05/2017,18:51:18,make drinks and get grapes,False
P03_26,11/05/2017,19:57:04,put dishes on side,False
P03_27,11/05/2017,21:45:11,make drink and wash hands,False
P03_28,11/05/2017,21:49:22,make drinks and get grapes,False
P04_01,09/05/2017,08:03:12,"started making food for lunches (tuna tofu miso burgers, tamagoyaki and vegetables)",True
P04_02,09/05/2017,08:24:00,continued making food for lunches,True
P04_03,09/05/2017,08:50:02,finished making food and packed lunch box,True
P04_04,09/05/2017,18:02:12,"making curries - fried paneer, boiled potatoes + chopped veg",True
P04_05,09/05/2017,18:17:04,continue making saag paneer and potato curry and make dough for flatbread,True
P04_06,09/05/2017,18:52:16,finish curries and flatbread and serve food,True
P04_07,09/05/2017,19:18:18,put away leftover food and clear up ingredients,False
P04_08,10/05/2017,08:23:54,make breakfast,True
P04_09,10/05/2017,18:12:34,"empty and reload dishwasher, clean counters and wash up",False
P04_10,10/05/2017,18:19:46,chop vegetables and chicken for jambalaya and start cooking,True
P04_11,10/05/2017,18:38:55,continue cooking jambalaya - chop chorizo,True
